a_year,a_ref,a_District,a_type,a_veh,a_cas,a_wkday,a_day,a_month,a_hour,a_min,a_gd1,a_gd2,a_ctype,a_speed,a_jdet,a_jcont,a_pedhum,a_pedphys,a_light,a_weat,a_roadsc,a_speccs,a_chaz,a_scene
2021,3577,ARND,3,2,1,TUE,19,10,18,0,366065,359526,13,30, , , , , , , , , , 
2021,3578,LISC,3,1,1,TUE,19,10,19,46,327636,368298,13,40, , , , , , , , , , 
2021,3579,DCST,3,2,1,TUE,19,10,19,30,244002,415670,13,30, , , , , , , , , , 
2021,3580,BELC,3,2,2,TUE,19,10,17,51,331294,375388,13,30, , , , , , , , , , 
2021,3581,BELC,3,2,2,TUE,19,10,21,30,334408,373901,13,30, , , , , , , , , , 
2021,3582,DCST,2,2,1,TUE,19,10,21,51,244984,415852,13,30,2,7,1,1,4,2,2,1,1,1
2021,3583,BELC,3,2,2,TUE,19,10,23,15,335112,373532,13,30, , , , , , , , , , 
2021,3584,ARND,3,1,1,WED,20,10,1,11,350278,372952,13,60, , , , , , , , , , 
2021,3585,ARBC,3,1,1,WED,20,10,3,28,294422,360184,12,70, , , , , , , , , , 
2021,3586,ARBC,2,2,1,WED,20,10,7,15,310168,337231,11,70,12,7,1,1,3,1,1,1,1,1
2021,3587,MIDU,3,2,1,WED,20,10,8,0,294887,387165,13,60, , , , , , , , , , 
2021,3588,BELC,3,2,1,WED,20,10,9,0,336822,374947,13,30, , , , , , , , , , 
2021,3589,MIDU,3,2,1,WED,20,10,8,55,280227,361859,13,30, , , , , , , , , , 
2021,3590,LISC,3,1,1,WED,20,10,11,49,340888,367289,13,60, , , , , , , , , , 
2021,3591,BELC,3,2,4,WED,20,10,14,3,332439,375728,13,30, , , , , , , , , , 
2021,3592,ARND,3,2,1,WED,20,10,14,0,349223,373332,13,40, , , , , , , , , , 
2021,3593,FERO,3,2,2,WED,20,10,14,52,247471,361509,13,60, , , , , , , , , , 
2021,3594,ARBC,3,1,1,WED,20,10,15,35,308389,358225,13,30, , , , , , , , , , 
2021,3595,BELC,3,2,1,WED,20,10,15,10,329292,371093,13,30, , , , , , , , , , 
2021,3596,MEAN,3,2,2,WED,20,10,16,6,313639,405420,13,50, , , , , , , , , , 
2021,3597,ARBC,2,2,4,WED,20,10,17,11,293484,341183,13,60,12,7,1,1,2,1,1,1,1,1
2021,3598,DCST,3,3,1,WED,20,10,17,23,243180,415480,13,60, , , , , , , , , , 
2021,3599,NEMD,3,2,1,WED,20,10,17,25,309512,327490,13,30, , , , , , , , , , 
2021,3600,MEAN,3,2,1,WED,20,10,17,35,339727,386612,13,50, , , , , , , , , , 
2021,3601,DCST,3,2,1,WED,20,10,18,27,244197,416773,13,30, , , , , , , , , , 
2021,3602,BELC,3,2,1,WED,20,10,18,45,332916,371597,13,30, , , , , , , , , , 
2021,3603,DCST,3,2,2,WED,20,10,19,50,244537,419798,1,30, , , , , , , , , , 
2021,3604,BELC,3,2,2,WED,20,10,22,15,333201,377019,13,30, , , , , , , , , , 
2021,3605,BELC,3,1,2,THU,21,10,2,0,334685,373395,13,40, , , , , , , , , , 
2021,3606,ANTN,3,2,1,THU,21,10,7,0,330592,382616,12,70, , , , , , , , , , 
2021,3607,BELC,2,1,1,THU,21,10,8,39,330541,374045,13,30,1,1,1,9,1,4,1,1,1,1
2021,3608,ARBC,3,1,1,THU,21,10,9,3,308107,360002,13,30, , , , , , , , , , 
2021,3609,MEAN,3,2,1,THU,21,10,9,25,338748,385748,1,50, , , , , , , , , , 
2021,3610,ARND,3,2,1,THU,21,10,11,20,353389,377644,13,60, , , , , , , , , , 
2021,3611,ANTN,3,2,3,THU,21,10,12,38,316087,387384,13,30, , , , , , , , , , 
2021,3612,BELC,3,2,1,THU,21,10,13,17,331558,375836,13,30, , , , , , , , , , 
2021,3613,NEMD,3,2,3,THU,21,10,13,26,350293,349953,13,60, , , , , , , , , , 
2021,3614,MIDU,3,2,4,THU,21,10,13,35,279122,365733,13,60, , , , , , , , , , 
2021,3615,FERO,3,1,2,THU,21,10,14,0,224513,345202,13,30, , , , , , , , , , 
2021,3616,ARND,3,2,1,THU,21,10,14,10,351087,380317,13,30, , , , , , , , , , 
2021,3617,ARBC,2,2,2,THU,21,10,15,19,315928,354104,13,60,6,7,1,1,2,1,1,1,1,1
2021,3618,CCGL,1,5,2,THU,21,10,16,5,310219,439751,13,60,12,4,1,1,2,2,2,1,1,1
